"Date,""UCT_Index"",""Deforestation_Brazil"",""Brazil_Soy_Exports_China"",""USA_Soy_Exports_China"",""Argentina_Soy_Exports_China"",""Brazil_Soy_Exports_EU"",""USA_Soy_Exports_EU"",""Brazil_Beef_Exports_China"",""USA_Beef_Exports_China"",""Argentina_Beef_Exports_China"",""Brazil_Beef_Exports_EU"",""USA_Beef_Exports_EU"",""Argentina_Beef_Exports_EU"",""Semi_Annual"",""Soybean_Prices"""
"2018-02-01,112.5363763,3721,816728,797159,0,206923,147973,92494,3292,46250,15723,6384,32721,""2018-H1"",416.28"
"2018-03-01,155.46365,4003,2709310,408178,0,299457,89621,117470,3633,50754,14344,22389,50894,""2018-H1"",430.11"
"2018-04-01,155.976722,4366,3040084,152876,60025,415445,108852,66401,5050,61520,7032,10421,36745,""2018-H1"",439.07"
"2018-05-01,160.193785,4552,3956976,208718,184505,332692,156215,111444,6283,61885,16937,7488,40426,""2018-H1"",430.32"
"2018-06-01,164.078944,4432,3324446,100473,205175,264243,216992,69482,3792,66770,9632,26806,43097,""2018-H1"",394.44"
"2018-07-01,177.3780804,4571,3198870,45301,0,259469,235451,166982,2925,73850,22521,8475,43107,""2018-H2"",377.17"
"2018-08-01,143.5182612,4823,2736035,45952,0,136875,326425,158651,3095,78768,16579,8916,35805,""2018-H2"",376.77"
"2018-09-01,155.7722023,5166,1661388,0,0,12775,233413,168173,3810,71824,15822,23310,47330,""2018-H2"",356.87"
"2018-10-01,154.1520668,5253,1933661,97605,156258,34715,458242,141835,4009,108324,17816,12661,38340,""2018-H2"",367.96"
"2018-11-01,147.3541709,5176,1870356,0,339708,1709,483882,161367,5995,92956,24288,7788,43654,""2018-H2"",374.04"
"2018-12-01,165.0963134,4955,1585533,24251,323301,0,413948,127886,4983,95116,14193,26043,36546,""2018-H2"",380.53"
"2019-01-01,168.5373532,4909,716536,452879,46115,0,317395,107274,5250,94775,5782,11211,26426,""2019-H1"",381.96"
"2019-02-01,149.8170143,4902,1583154,712736,0,118648,177549,118661,3000,90131,10485,8134,30008,""2019-H1"",380.33"
"2019-03-01,137.5378994,4796,2108914,535083,0,353029,99978,115632,2994,91029,10716,21921,45581,""2019-H1"",369.53"
"2019-04-01,122.5606019,4554,2263418,208502,5434,259363,63991,102277,4574,122802,11469,7661,35126,""2019-H1"",359.84"
"2019-05-01,181.16918,4743,2358327,412136,456469,381553,48266,143387,3849,160300,17134,10305,48246,""2019-H1"",339.81"
"2019-06-01,204.6244437,5190,2258142,623991,113531,227274,72132,100652,6665,163477,15786,18197,51091,""2019-H1"",358.95"
"2019-07-01,165.1091407,6849,2063735,66234,385091,159350,91991,150273,6546,159720,12140,8429,32775,""2019-H2"",369.58"
"2019-08-01,216.4569603,8032,1322043,970535,281314,125411,98780,202614,5582,186801,10683,6074,46875,""2019-H2"",360.93"
"2019-09-01,168.5178969,8739,1316386,337097,521744,78040,273078,241960,8412,204070,13157,22929,45875,""2019-H2"",366.07"
"2019-10-01,199.9485996,8768,1674361,583439,539754,38177,335965,400715,5636,258436,17338,9502,52412,""2019-H2"",381.65"
"2019-11-01,146.4611042,9054,1724487,1531571,484743,12630,156069,487968,5223,254091,17284,9709,43531,""2019-H2"",375.51"
"2019-12-01,165.1404774,9176,1112815,974546,129637,34418,217975,505464,12725,274446,10147,10904,32225,""2019-H2"",383.2"
"2020-01-01,189.2147326,9325,369205,727556,41389,65377,313179,309157,5655,143135,9002,12958,25694,""2020-H1"",387.23"
"2020-02-01,251.4883847,9371,1204865,198632,0,224989,80051,191627,2837,79478,14292,15167,31050,""2020-H1"",375.63"
"2020-03-01,349.9455009,9447,2802288,7507,0,382799,46126,248174,2758,117409,15553,15114,35857,""2020-H1"",372.61"
"2020-04-01,286.5693975,9607,3610231,155435,195392,475263,22399,288951,9945,158021,3075,5823,9072,""2020-H1"",361.26"
"2020-05-01,228.1618118,9702,3357209,62357,597162,581681,39315,409829,10115,214906,2477,3084,19965,""2020-H1"",359.17"
"2020-06-01,168.0466659,9810,2998304,11968,359604,491891,75,367382,10093,139535,6877,7133,26470,""2020-H1"",369.58"
"2020-07-01,187.8165299,9214,2609851,153773,276587,341732,99425,375649,9135,119891,11519,15959,34634,""2020-H2"",381.07"
"2020-08-01,171.766003,8859,1568406,874801,304855,144915,295607,325176,20518,112517,13206,15996,54371,""2020-H2"",384.55"
"2020-09-01,154.5265259,8371,1219286,1820418,40138,66234,193003,296890,22141,143335,14923,13091,40743,""2020-H2"",423.41"
"2020-10-01,133.5756173,8652,722434,3563161,5223,21915,303860,372927,33515,169529,11518,12553,31375,""2020-H2"",454.25"
"2020-11-01,134.8472922,8399,412408,3359224,0,24247,254206,440791,44162,191164,11603,13990,17689,""2020-H2"",499.98"
"2020-12-01,138.5052574,8425,30766,2966510,0,25063,301808,410818,53046,126380,5183,8729,12383,""2020-H2"",510.93"
"2021-01-01,157.6279323,8227,7351,2536271,0,0,439036,287249,45523,122635,5400,10287,16632,""2021-H1"",576.37"
"2021-02-01,135.3852701,8166,761546,689982,0,104048,306995,261794,52750,110779,7989,7143,19796,""2021-H1"",578.26"
"2021-03-01,177.0828077,8206,3622582,257152,0,486598,16537,324883,95045,134186,11608,8592,33940,""2021-H1"",585.71"
"2021-04-01,144.3614946,8379,4826421,48801,65166,627868,291,309048,115128,139340,9744,13131,20231,""2021-H1"",597.13"
"2021-05-01,145.2640788,8936,4558386,22194,290913,683704,3669,343131,105528,185435,11591,9960,35806,""2021-H1"",646.8"
"2021-06-01,145.6546669,8954,3279648,11947,138751,675571,4372,441181,109180,104759,14217,9975,23574,""2021-H1"",614.68"
"2021-07-01,165.6990741,8793,2638593,23,292999,452328,20948,525536,124212,101793,15103,12333,41096,""2021-H2"",600.44"
"2021-08-01,153.4883736,8352,2207030,229908,653191,408146,84812,633287,157133,142504,21376,13410,33693,""2021-H2"",585.8"
"2021-09-01,142.2006166,8372,1749343,49169,340746,270565,190428,686066,137406,165089,16933,14825,61135,""2021-H2"",557.55"
"2021-10-01,129.9540127,8413,1367780,3929256,0,100075,395827,50769,119618,144045,18409,18570,46532,""2021-H2"",551.95"
"2021-11-01,145.0344385,8352,1134919,3679290,0,26755,385389,1980,116673,148531,24113,19151,57966,""2021-H2"",551.04"
"2021-12-01,156.4718876,8223,1054502,2174559,0,40419,496749,41499,121764,179706,25111,15460,18054,""2021-H2"",554.14"
"2022-01-01,165.0818266,8568,997202,1971901,0,79358,375379,328524,123568,139811,7787,16094,18970,""2022-H1"",606.22"
"2022-02-01,276.4343491,8642,2158209,963426,0,458584,141899,546370,123286,169757,11349,11378,38261,""2022-H1"",661.63"
"2022-03-01,170.9383794,8587,4530097,805957,0,641116,36973,676957,148479,189422,12262,19904,40189,""2022-H1"",720.6"
"2022-04-01,125.5300963,9033,4481360,855407,0,651224,101003,674238,155376,173367,16235,19904,66090,""2022-H1"",720.79"
"2022-05-01,146.2406481,8543,4027167,338507,78241,948400,145699,687332,155930,238475,16949,22093,59787,""2022-H1"",724.09"
"2022-06-01,128.3376583,8602,4098798,166422,125438,649135,189981,752104,169120,248008,29540,24837,45816,""2022-H1"",737.06"
"2022-07-01,129.9102851,8590,3291276,33437,23986,426877,213576,784022,166853,249037,17107,20124,36325,""2022-H2"",678.2"
"2022-08-01,140.7785228,9333,2723030,797866,143852,254930,359248,852704,190020,197917,13642,17295,47325,""2022-H2"",671.11"
"2022-09-01,125.8332191,9803,1587836,358697,631851,267928,158490,867727,135864,200245,16308,15712,38610,""2022-H2"",664.45"
"2022-10-01,137.7190954,9831,1876367,4252275,1182471,63360,314878,788886,158846,173016,20949,14807,42520,""2022-H2"",626"
"2022-11-01,138.4149654,10136,1257515,3931424,489818,38204,491299,501694,109698,164616,21388,18132,34676,""2022-H2"",648.92"
"2022-12-01,152.5557622,10278,81982,3005285,0,57504,364534,490193,72068,120308,13211,12802,20954,""2022-H2"",645.67"
"2023-01-01,147.4217177,10014,305876,3436570,0,0,500627,483295,73760,123500,13984,13916,27604,""2023-H1"",626.59"
"2023-02-01,186.5398704,10137,1931031,1895731,0,334091,356128,354076,100438,126742,10816,19514,35286,""2023-H1"",651.12"
"2023-03-01,179.6033081,10181,5575372,827399,0,497149,219611,276145,111006,142223,13124,18089,41058,""2023-H1"",628.38"
"2023-04-01,161.2940975,9483,5416689,732945,0,496683,219313,207229,116253,148900,16164,23036,44842,""2023-H1"",614.93"
"2023-05-01,139.0712422,9396,5373332,1438,290521,613155,75121,582735,115036,194127,21157,16390,51506,""2023-H1"",595"
"2023-06-01,136.8858404,8939,4549569,16501,97865,588328,31685,698367,117052,139360,14849,22416,32372,""2023-H1"",591.89"
"2023-07-01,162.5684921,7952,3318081,14562,0,252017,347697,445005,90948,149601,12899,20234,39864,""2023-H2"",633.85"
"2023-08-01,152.2467409,6854,3151637,138673,0,288547,341459,510715,110523,144592,14567,19674,42170,""2023-H2"",583.93"
"2023-09-01,151.2931802,6029,2633428,709675,108644,79637,208125,600946,96778,102710,17465,16433,41406,""2023-H2"",619.04"
"2023-10-01,125.0524254,5559,2566375,3961161,321898,41460,281958,547595,90835,114871,17758,25249,33999,""2023-H2"",529.57"
"2023-11-01,131.4663291,5206,2385893,2334214,48271,933,570720,505413,89045,146536,19969,20485,37116,""2023-H2"",553.05"
"2023-12-01,134.1183409,5154,1710439,989483,0,30535,549474,522892,90661,140835,14721,15365,32714,""2023-H2"",547.43"
"2024-01-01,137.8960079,5106,1003029,2025048,0,49474,282248,426262,80019,144082,13072,12516,34401,""2024-H1"",547.38"
"2024-02-01,115.8633717,NA,2167085,1681032,0,224321,242347,428582,100539,157540,13542,16054,40767,""2024-H1"",519.75"
"2024-03-01,NA,NA,3814413,887607,0,404911,58387,363249,100204,143190,13156,15971,40245,""2024-H1"",487.49"
"2024-04-01,NA,NA,4208116,281259,74934,561159,116,453961,113181,123205,19842,16742,30234,""2024-H1"",477.3"
"2024-05-01,NA,NA,4276101,153915,6112,617309,26563,436369,110970,105363,18331,18790,48452,""2024-H1"",490.22"
"2024-06-01,NA,NA,4670761,11474,589522,276861,129091,402100,93727,119172,16322,18239,35210,""2024-H1"",479.72"
"2024-07-01,NA,NA,3921070,11109,142243,425967,133636,535270,101458,100388,16858,16307,38875,""2024-H2"",469.63"
"2024-08-01,NA,NA,2570308,13287,165343,305245,126369,467555,95140,132634,16877,17914,46153,""2024-H2"",400.13"
"2024-09-01,NA,NA,1815730,456739,109495,196989,231437,599284,87438,135131,23598,21111,52143,""2024-H2"",391.31"
"2024-10-01,NA,NA,1506525,2667313,0,119881,443020,723237,110656,137704,24518,18632,54778,""2024-H2"",442.1"
